CATEGORY,SUBCATEGORY,NOM,REF,URL_IMAGE,DESCRIPTION,FORMAT,NET SOCOFRA,PUBLIC HT,GARAGE
ACCESSOIRES,,"LUCKY STAR ""FROZEN STRAWBERRY"" 24 PCS",H0232,https://doomzyx.github.io/MAFRASHOP-IMG/luckystarfrozenstrawberry.webp,Design exclusif : forme élégante et moderne Ajustement de l'essence : parfum personnalisé d'un simple geste Multi-usage : idéal pour les voitures et les petits espaces domestiques Installation rapide : suspendez-le et profitez immédiatement de l'arôme.,500 ml,"0,60","1,88","1,09"
ACCESSOIRES,,"LUCKY STAR ""GREEN APPLE"" 24 PCS",H0223,https://doomzyx.github.io/MAFRASHOP-IMG/luckystargreenapple.webp,Design exclusif : forme élégante et moderne Ajustement de l'essence : parfum personnalisé d'un simple geste Multi-usage : idéal pour les voitures et les petits espaces domestiques Installation rapide : suspendez-le et profitez immédiatement de l'arôme.,2 ml,"0,60","1,88","1,09"
ACCESSOIRES,,"LUCKY STAR ""LAVENDER"" 24 PCS",H0224,https://doomzyx.github.io/MAFRASHOP-IMG/luckystarlavender.webp,Design exclusif : forme élégante et moderne Ajustement de l'essence : parfum personnalisé d'un simple geste Multi-usage : idéal pour les voitures et les petits espaces domestiques Installation rapide : suspendez-le et profitez immédiatement de l'arôme.,2 ml,"0,60","1,88","1,09"
ACCESSOIRES,,"LUCKY STAR ""MAGIC NIGHT"" 24 PCS",H0226,https://doomzyx.github.io/MAFRASHOP-IMG/luckystar.webp,Design exclusif : forme élégante et moderne Ajustement de l'essence : parfum personnalisé d'un simple geste Multi-usage : idéal pour les voitures et les petits espaces domestiques Installation rapide : suspendez-le et profitez immédiatement de l'arôme.,2 ml,"0,60","1,88","1,09"
ACCESSOIRES,,"LUCKY STAR ""VANILLA"" 24 PCS",H0237,https://doomzyx.github.io/MAFRASHOP-IMG/luckystarvanilla.webp,Design exclusif : forme élégante et moderne Ajustement de l'essence : parfum personnalisé d'un simple geste Multi-usage : idéal pour les voitures et les petits espaces domestiques Installation rapide : suspendez-le et profitez immédiatement de l'arôme.,3 ml,"0,60","1,88","1,09"
INTERIEUR,,MAFRAPAV DEGREASER 20 KG COMUNITA'-HO.RE.CA,P0779,https://doomzyx.github.io/MAFRASHOP-IMG/MAFRAPAV.webp,"MAFRAPAV DEGREASER est un liquide concentré spécial à mousse retenue pour le nettoyage des sols dans les salles d'exposition de voitures, les cuisines de restaurants, les cantines et les supermarchés. Il élimine les salissures les plus tenaces et peut être utilisé à la fois manuellement et avec des machines à laver les sols. Il laisse un parfum agréable à chaque application. Le produit n'endommage pas les pièces en aluminium ni les pompes d'aspiration à l'intérieur des autolaveuses.",20 KG,"1,43","4,47","2,60"
ACCESSOIRES,,MAFRASOL 2.0 25 KG,P0145,https://doomzyx.github.io/MAFRASHOP-IMG/mafrasol2.0.webp,"Décompose la saleté : sa formule à base de tensioactifs est capable de décomposer tous types de saletés, y compris la graisse, l'huile, le diesel, le smog incrusté ou le carbone. Idéal pour le nettoyage : voitures, motos, camions, moteurs, machines industrielles Polyvalent : il est utilisé pour le nettoyage des excavatrices, des conteneurs, des réservoirs, des tours, des moteurs, des pièces mécaniques et de toutes les surfaces nécessitant une propreté maximale. Dans le secteur du lavage automobile : élimine le film routier et les halos qui se forment sur les voitures de couleur claire Formule concentrée pour des dilutions de 1:5 à 1:55 Polyvalent sur voitures, camions, excavatrices, conteneurs et machines Suppression des traces de ruissellement et des halos sur la carrosserie Convient pour le nettoyage des sols, des hottes de four, des grilles et de toutes les surfaces nécessitant une puissance de nettoyage maximale. Rinçage rapide et sûr sans laisser de résidus",25 KG,"1,48","4,63","2,69"
ACCESSOIRES,,MANIBEL PASTA EVO 1000 ML 12 PZ,H0991,https://doomzyx.github.io/MAFRASHOP-IMG/pole-position1000.webp,Nettoie les mains grasses et sales de la graisse Excellentes propriétés émollientes Laisse la peau douce et agréablement parfumée,1000 ml,"1,95","6,09","3,54"
ACCESSOIRES,,MANIBEL PASTA EVO 4000 ML 4 PZ,H0992,https://doomzyx.github.io/MAFRASHOP-IMG/pole-position4KG.webp,Nettoie les mains grasses et sales de la graisse Excellentes propriétés émollientes Laisse la peau douce et agréablement parfumée,4000 ml,"6,50","20,31","11,82"
EXTERIEUR,,METAL CAR SPRAY 500 ML 6 PZ,H0795,https://doomzyx.github.io/MAFRASHOP-IMG/metalcar.webp,Brillance instantanée Fabriqué à partir de cires synthétiques à haute adhérence Polit et protège avec une grande facilité et en deux fois moins de temps qu'un produit traditionnel. Fabriqué à partir de cires synthétiques à haute adhérence Formule à base d'eau : fonctionne même si la carrosserie n'est pas parfaitement sèche. Doux pour les plastiques : sans effet blanchissant Effet soyeux facilitant le glissement de la saleté Protège la peinture du smog et de la saleté Ne contient aucun abrasif Il peut être utilisé sur tout type de peinture,500 ml,"2,74","8,55","4,98"
EXTERIEUR,,METALCREM 250 ML 12 PZ,H0181,https://doomzyx.github.io/MAFRASHOP-IMG/metalcream.webp,"Formule sans abrasifs pour une finition sûre et brillante Restaure la brillance et la couleur d'origine de la peinture Contient des cires synthétiques à haute adhérence pour une protection longue durée Ne laisse aucun résidu Ne blanchit pas les surfaces plastiques extérieures de la voiture, préservant ainsi leur aspect d'origine. Crée un film brillant longue durée Application facile grâce à l'applicateur et au chiffon en microfibre fournis. Disponible en format 250 ml : permet de réaliser 2 à 3 traitements sur des voitures de taille moyenne.",250 ml,"2,97","9,28","5,40"
EXTERIEUR,,NERISSIMO 12 KG on deman 20/25 days,PB194,https://doomzyx.github.io/MAFRASHOP-IMG/nerissimo.webp,"Il polit, revitalise et assouplit tous les types de pneus ; Protège contre les fissures et les intempéries ; Grâce à sa formulation spéciale, le produit est non gras et non collant.",12 ml,"3,20","10,00","5,82"
EXTERIEUR,,NETTOYANT JANTE ET PNEU 500ML,H0882,https://doomzyx.github.io/MAFRASHOP-IMG/Nettoyant-jante_et-pneu.webp,"Produit 2 en 1 : agit sur les jantes et les pneus en une seule étape ; Puissant : dissout tout type de saleté, même les plus tenaces ; Sûr : Peut être utilisé sur tout type de jante en alliage Mousse active : adhère aux surfaces verticales et dissout les saletés tenaces, pour un nettoyage simple et sûr sans risque d'endommager les jantes et les pneus de votre voiture. Alloy Safe : Compatible avec toutes les jantes en alliage Protection anti-âge : préserve l'élasticité et la couleur des pneus Formulation prête à l'emploi Ne convient pas aux jantes en aluminium, anodisées et de moto.",500 ml,"2,18","6,81","3,96"
EXTERIEUR,,NOUVEAU NOIR 500 ML 6 PZ DUAL,H0889,https://doomzyx.github.io/MAFRASHOP-IMG/newblack.webp,"Formule éco-durable , sans phosphates pour un impact environnemental réduit et utilisant des ingrédients de polissage à base de plantes hautement biodégradables, réduisant ainsi l'impact environnemental sans compromettre l'efficacité ; Une brillance naturelle et durable, pour un look impeccable à chaque fois. Protection anti-gerçures et maintien de l'élasticité Prêt à l'emploi , application rapide et uniforme à l'éponge ou au pinceau Les bénéfices sont visibles au fil du temps et la couleur retrouve immédiatement un aspect naturel.",500 ml,"2,16","6,75","3,93"
EXTERIEUR,,ODORBACT OUT TALC SPRAY 150 ML 24 PCS,H0120,https://doomzyx.github.io/MAFRASHOP-IMG/odorbact.webp,Répare les crevaisons des pneus tubeless et des chambres à air Convient pour réparer toute perforation Portable : se range dans n'importe quel sac ou compartiment sous un siège Application simple et immédiate en quelques secondes Permet de redémarrer en toute sécurité jusqu'à une vitesse maximale de 40 km/h. Idéal pour les urgences en cours de route Ne convient pas aux pneus équipés de valves TPMS.,300 ml,"4,02","12,56","7,31"
ACCESSOIRES,,POLE FLUID 3000 ML 6 PCS,H0133,https://doomzyx.github.io/MAFRASHOP-IMG/https://doomzyx.github.io/MAFRASHOP-IMG/polefluid4000.webp,"Élimine même les saletés les plus tenaces et résistantes Idéal pour les secteurs industriel, automobile et du bricolage Formule à base de tensioactifs végétaux associés à un abrasif inerte micronisé Elle agit en profondeur sans irriter la peau. Distributeur inclus pour un dosage pratique et sans gaspillage. Compatibilité cutanée testée dermatologiquement",3000 ml,"11,10","34,69","20,18"
ACCESSOIRES,,POLE POSITION 1000 ML 12 PZ,H0158,https://doomzyx.github.io/MAFRASHOP-IMG/poleposition1000.webp,"Formule écologique naturelle à base de savons et de tensioactifs végétaux et d'aloe vera Compatibilité cutanée testée dermatologiquement Élimine la graisse, l'huile et les saletés tenaces en quelques étapes seulement, même sur les ongles. Parfait pour une utilisation quotidienne dans les ateliers, les garages et les carrosseries. Laisse les mains propres, fraîches et parfumées. Facile à utiliser",1000 ml,"2,60","8,13","4,73"
ACCESSOIRES,,POLE POSITION 4000 ML 4 PZ,H0212,https://doomzyx.github.io/MAFRASHOP-IMG/poleposition4kg.webp,"Formule écologique naturelle à base de savons et de tensioactifs végétaux et d'aloe vera Compatibilité cutanée testée dermatologiquement Élimine la graisse, l'huile et les saletés tenaces en quelques étapes seulement, même sur les ongles. Parfait pour une utilisation quotidienne dans les ateliers, les garages et les carrosseries. Laisse les mains propres, fraîches et parfumées. Facile à utiliser",4000 ml,"9,30","29,06","16,91"
EXTERIEUR,,POLISH CLEVER 250 GR. 12 PZ,HN041,https://doomzyx.github.io/MAFRASHOP-IMG/polishclever.webp,"Finition miroir : élimine les résidus de cire et laisse la carrosserie exempte de rayures et de traces. Finition brillante et professionnelle Élimine les rayures et les taches , restaurant la couleur d'origine Fort pouvoir régénérateur contre l'oxydation et les agents atmosphériques Application manuelle simple et immédiate avec le coussinet en microfibre Élimine les signes de vieillissement et les halos disgracieux Restaure la couleur vive d'origine de la carrosserie$",250 ml,"3,07","9,59","5,58"
EXTERIEUR,,POLISH EXPRESS 250 ML KIT + SPONGE 6 PCS,H0420,https://doomzyx.github.io/MAFRASHOP-IMG/kit-polish-express.webp,"Le premier produit de polissage s'utilise comme un shampoing : il nettoie et scelle les pores de la carrosserie ; 4 Effets Nanotech : Effet poli, effet essuie-glace liquide, effet miroir et effet soie ; Effet poli : pour une brillance inimitable ; Effet essuie-glace liquide : sécurité maximale en cas de pluie ; Effet miroir : redonne à la carrosserie son aspect d'origine ; Effet soie : pour une texture douce et fluide au toucher ; Protection jusqu'à 6 semaines : protège la carrosserie et les vitres ; Une bouteille suffit pour laver 5 voitures ; Conditionné dans un flacon pratique avec instructions de dilution Kit comprenant : un flacon de 250 ml de Polish Express et une éponge",250 ml,"4,21","13,16","7,65"
EXTERIEUR,,POLISH EXPRESS DUAL 4500 ML 4 PZ,P0594,https://doomzyx.github.io/MAFRASHOP-IMG/polish4500.webp,"Shampoing nanotechnologique ; Le premier produit de polissage qui s'utilise comme un shampoing ; EFFET POLISSAGE, pour un éclat inimitable ; EFFET THERMIQUE CHIMIQUE SUPRÊME, pour une sécurité maximale par temps de pluie ; EFFET MIROIR, pour donner à votre voiture le même aspect qu'à l'achat ; EFFET SOIE, pour une carrosserie vraiment lisse et fluide au toucher et une surface plus propre au fil du temps.",4500 ml,"29,76","93,00","54,10"
INTERIEUR,,PULIMAX 25 KG,P0218,https://doomzyx.github.io/MAFRASHOP-IMG/pulimax125.webp,"Nettoie en profondeur les tissus, le ski et les plastiques sans laisser de traces. Ravive les couleurs ternies et redonne de l'éclat aux sièges. Ce puissant désodorisant élimine les odeurs les plus tenaces. Pulvérisateur réglable pour un dosage précis et des économies de produit Polyvalent, idéal pour le plastique, le tissu, le vinyle et les tapis. Idéal pour les saletés tenaces",25 KG,"1,72","5,38","3,13"
INTERIEUR,,PULIMAX 150 ML 12 PCS,SH004,https://doomzyx.github.io/MAFRASHOP-IMG/pulimax400.webp,"Nettoie en profondeur les tissus, le ski et les plastiques sans laisser de traces. Ravive les couleurs ternies et redonne de l'éclat aux sièges. Ce puissant désodorisant élimine les odeurs les plus tenaces. Pulvérisateur réglable pour un dosage précis et des économies de produit Polyvalent, idéal pour le plastique, le tissu, le vinyle et les tapis. Idéal pour les saletés tenaces",150 ml,"1,17","3,66","2,13"
INTERIEUR,,PULIMAX 2.0 25 KG,P1282,https://doomzyx.github.io/MAFRASHOP-IMG/pulimax4500.webp,"Nettoie en profondeur les tissus, le ski et les plastiques sans laisser de traces. Ravive les couleurs ternies et redonne de l'éclat aux sièges. Ce puissant désodorisant élimine les odeurs les plus tenaces. Pulvérisateur réglable pour un dosage précis et des économies de produit Polyvalent, idéal pour le plastique, le tissu, le vinyle et les tapis. Idéal pour les saletés tenaces",25 KG,"1,87","5,84","3,40"
INTERIEUR,,PULIMAX 2.0 4500 ML CART. 4 PZ DUAL,P0494,https://doomzyx.github.io/MAFRASHOP-IMG/pulimax2.0-25kg.webp,"Nettoie en profondeur les tissus, le ski et les plastiques sans laisser de traces. Ravive les couleurs ternies et redonne de l'éclat aux sièges. Ce puissant désodorisant élimine les odeurs les plus tenaces. Pulvérisateur réglable pour un dosage précis et des économies de produit Polyvalent, idéal pour le plastique, le tissu, le vinyle et les tapis. Idéal pour les saletés tenaces",2 ml,"9,92","31,00","18,03"
INTERIEUR,,PULIMAX 500 ML 6 PZ DUAL,H0841,https://doomzyx.github.io/MAFRASHOP-IMG/pulimax400.webp,"Nettoie en profondeur les tissus, le ski et les plastiques sans laisser de traces. Ravive les couleurs ternies et redonne de l'éclat aux sièges. Ce puissant désodorisant élimine les odeurs les plus tenaces. Pulvérisateur réglable pour un dosage précis et des économies de produit Polyvalent, idéal pour le plastique, le tissu, le vinyle et les tapis. Idéal pour les saletés tenaces",500 ml,"1,86","5,81","3,38"
INTERIEUR,,PULIMOQUETTES OXYGEN 25 KG,P0716,https://doomzyx.github.io/MAFRASHOP-IMG/pulimoquette25kg.webp,"Spécifique aux machines d'extraction ; Nettoyant concentré innovant pour un nettoyage en profondeur et en douceur de tous les types de tissus, velours et tapis ; Il peut être utilisé en toute sécurité sur des matériaux délicats et colorés ; Il est composé de microcapsules à libération graduelle, de minuscules sphères à parois fines qui libèrent le parfum par diffusion ou par rupture lors de l'écrasement, ou par contact avec les tapis ;",25 KG,"1,82","5,69","3,31"
INTERIEUR,,PULIMOQUETTES OXYGEN 4500 ML 4 PZ DUAL,P0704,https://doomzyx.github.io/MAFRASHOP-IMG/pulimoquette25kg.webp,"Spécifique aux machines d'extraction ; Nettoyant concentré innovant pour un nettoyage en profondeur et en douceur de tous les types de tissus, velours et tapis ; Il peut être utilisé en toute sécurité sur des matériaux délicats et colorés ; Il est composé de microcapsules à libération graduelle, de minuscules sphères à parois fines qui libèrent le parfum par diffusion ou par rupture lors de l'écrasement, ou par contact avec les tapis ;",4500 ml,"9,85","30,78","17,91"
INTERIEUR,,SCIC BLUE SPRAY 600 ML 24 PZ OVEST,H0045,https://doomzyx.github.io/MAFRASHOP-IMG/scicblue.webp,"Effet brillant moyen , non gras et élégant. Élimine la poussière, laissant les surfaces propres et soyeuses. Zéro reflet : ne provoque aucun reflet gênant sur le pare-brise pendant la conduite. Donne aux parties traitées brillance et douceur Application rapide avec chiffon en microfibre Format 600 ml et 200 ml",200 ml / 600 ml,"2,30","7,19","4,18"
INTERIEUR,,SCIC GREEN SPRAY 600 ML 24 PZ OVEST,H0044,https://doomzyx.github.io/MAFRASHOP-IMG/scicgreen.webp,,600 ml,"2,30","7,19","4,18"
INTERIEUR,,SCIC ORANGE SPRAY 600 ML 24 PZ OVEST,H0043,https://doomzyx.github.io/MAFRASHOP-IMG/scicorange.webp,Fini semi-brillant sans traces : polit les plastiques de votre voiture sans laisser de film gras ni de reflets sur le pare-brise. Formule antistatique : réduit l’accumulation de poussière et garde le tableau de bord propre plus longtemps. Protection anti-fissures : préserve les plastiques au fil du temps. Spécialement conçu pour les boiseries. Application rapide et facile. Parfum d’orange : rafraîchit l’atmosphère de votre habitacle. Format 600 ml.,600 ml,"2,30","7,19","4,18"
EXTERIEUR,,SHAMPOO POWER DUAL 1000 ML 6 PCS,H0779,https://doomzyx.github.io/MAFRASHOP-IMG/shampoopower.webp,"Concentré : 30 lavages avec un seul flacon Sans traces : ne laisse aucune trace ni bavure après rinçage. Sans danger : idéal pour les peintures mates et les films de covering Niveau élevé de mousse Facile à rincer : garantit des économies d'eau importantes. Dosage simple : un bouchon par litre ou 5 bouchons pour 5 litres. Sans danger pour toutes les parties traitées , même les plus délicates.",1000 ml,"2,05","6,41","3,73"
EXTERIEUR,,SPLENDORLEGA 500 ML 6 PZ DUAL,H0871,https://doomzyx.github.io/MAFRASHOP-IMG/splendorlega.webp,"Pouvoir dégraissant élevé : élimine rapidement la poussière de frein et les saletés incrustées Protection totale : redonne à la jante son éclat d'origine, assurant sa préservation complète sans risque de corrosion ni d'abrasion. Prêt à l'emploi avec nébuliseur, sans dilution. Compatible avec les enjoliveurs en alliage, magnésium, acier et plastique Ne pas utiliser sur des jantes en aluminium anodisé ; Pratique et facile à utiliser grâce à son diffuseur de spray pratique.",500 ml,"2,00","6,25","3,64"
INTERIEUR / EXTERIEUR,,SPLIT 25 LT,PB139,https://doomzyx.github.io/MAFRASHOP-IMG/split25kg.webp,"Mousse active qui dissout les graisses, le smog et les résidus de fumée Formule sans ammoniaque, sans danger pour le verre et le cristal Un parfum agréable pour des surfaces toujours fraîches Ne contient pas d'ammoniaque Finition impeccable, sans traces ni bavures.",25 KG,"1,14","3,56","2,07"
INTERIEUR / EXTERIEUR,,SPLIT 4500 ML DUAL CART. 4 PZ,P0496,https://doomzyx.github.io/MAFRASHOP-IMG/split400.webp,"Mousse active qui dissout les graisses, le smog et les résidus de fumée Formule sans ammoniaque, sans danger pour le verre et le cristal Un parfum agréable pour des surfaces toujours fraîches Ne contient pas d'ammoniaque Finition impeccable, sans traces ni bavures.",4500 ml,"6,18","19,31","11,24"
ACCESSOIRES,,SPLIT 750 ML 12 PZ DUAL TRIGGER,H1153,https://doomzyx.github.io/MAFRASHOP-IMG/split400.webp,"Nouvelle formule : tensioactifs 100 % d'origine végétale ; Doux pour : écrans LCD, cuir, plastique, carbone, céramique, surfaces laquées, miroirs et cristal, bois ; Nettoie et dégraisse sans laisser de traces et ne nécessite pas de rinçage. pH neutre pour protéger les matériaux et peintures sensibles Spray ergonomique pour une application rapide et uniforme Il combine un pouvoir dégraissant avec une action nettoyante efficace Utilisation : Intérieur de voiture, nettoyage de la cuisine, nettoyage de la salle de bain, ameublement de la maison et du bureau Ne contient aucun produit chimique nocif comme les phtalates, les phosphates, le chlore et l'ammoniaque",750 ml,"1,68","5,26","3,06"
ACCESSOIRES,,SUPER MAFRASOL 12 KG,P0269,https://doomzyx.github.io/MAFRASHOP-IMG/supermafrasol25kg.webp,"Décompose la saleté : sa formule à base de tensioactifs est capable de décomposer tous types de saletés, y compris la graisse, l'huile, le diesel, le smog incrusté ou le carbone. Idéal pour le nettoyage : voitures, motos, camions, moteurs, machines industrielles Polyvalent : il est utilisé pour le nettoyage des excavatrices, des conteneurs, des réservoirs, des tours, des moteurs, des pièces mécaniques et de toutes les surfaces nécessitant une propreté maximale. Dans le secteur du lavage automobile : élimine le film routier et les halos qui se forment sur les voitures de couleur claire Formule concentrée pour des dilutions de 1:5 à 1:55 Polyvalent sur voitures, camions, excavatrices, conteneurs et machines Suppression des traces de ruissellement et des halos sur la carrosserie Convient pour le nettoyage des sols, des hottes de four, des grilles et de toutes les surfaces nécessitant une puissance de nettoyage maximale. Rinçage rapide et sûr sans laisser de résidus",12 KG,"2,50","7,81","4,55"
ACCESSOIRES,,SUPER MAFRASOL 25 KG,P0270,https://doomzyx.github.io/MAFRASHOP-IMG/supermafrasol25kg.webp,"Décompose la saleté : sa formule à base de tensioactifs est capable de décomposer tous types de saletés, y compris la graisse, l'huile, le diesel, le smog incrusté ou le carbone. Idéal pour le nettoyage : voitures, motos, camions, moteurs, machines industrielles Polyvalent : il est utilisé pour le nettoyage des excavatrices, des conteneurs, des réservoirs, des tours, des moteurs, des pièces mécaniques et de toutes les surfaces nécessitant une propreté maximale. Dans le secteur du lavage automobile : élimine le film routier et les halos qui se forment sur les voitures de couleur claire Formule concentrée pour des dilutions de 1:5 à 1:55 Polyvalent sur voitures, camions, excavatrices, conteneurs et machines Suppression des traces de ruissellement et des halos sur la carrosserie Convient pour le nettoyage des sols, des hottes de four, des grilles et de toutes les surfaces nécessitant une puissance de nettoyage maximale. Rinçage rapide et sûr sans laisser de résidus",25 KG,"2,28","7,13","4,15"
ACCESSOIRES,,SUPER MAFRASOL 6 KG,P0268,https://doomzyx.github.io/MAFRASHOP-IMG/supermafrasol25kg.webp,"Décompose la saleté : sa formule à base de tensioactifs est capable de décomposer tous types de saletés, y compris la graisse, l'huile, le diesel, le smog incrusté ou le carbone. Idéal pour le nettoyage : voitures, motos, camions, moteurs, machines industrielles Polyvalent : il est utilisé pour le nettoyage des excavatrices, des conteneurs, des réservoirs, des tours, des moteurs, des pièces mécaniques et de toutes les surfaces nécessitant une propreté maximale. Dans le secteur du lavage automobile : élimine le film routier et les halos qui se forment sur les voitures de couleur claire Formule concentrée pour des dilutions de 1:5 à 1:55 Polyvalent sur voitures, camions, excavatrices, conteneurs et machines Suppression des traces de ruissellement et des halos sur la carrosserie Convient pour le nettoyage des sols, des hottes de four, des grilles et de toutes les surfaces nécessitant une puissance de nettoyage maximale. Rinçage rapide et sûr sans laisser de résidus",6 KG,"2,75","8,59","5,00"
ACCESSOIRES,,SUPERMAFRASOL FR/ENG 900 ML 12 PZ,H0552,https://doomzyx.github.io/MAFRASHOP-IMG/supermafrasol900.webp,"Décompose la saleté : sa formule à base de tensioactifs est capable de décomposer tous types de saletés, y compris la graisse, l'huile, le diesel, le smog incrusté ou le carbone. Idéal pour le nettoyage : voitures, motos, camions, moteurs, machines industrielles Polyvalent : il est utilisé pour le nettoyage des excavatrices, des conteneurs, des réservoirs, des tours, des moteurs, des pièces mécaniques et de toutes les surfaces nécessitant une propreté maximale. Dans le secteur du lavage automobile : élimine le film routier et les halos qui se forment sur les voitures de couleur claire Formule concentrée pour des dilutions de 1:5 à 1:55 Polyvalent sur voitures, camions, excavatrices, conteneurs et machines Suppression des traces de ruissellement et des halos sur la carrosserie Convient pour le nettoyage des sols, des hottes de four, des grilles et de toutes les surfaces nécessitant une puissance de nettoyage maximale. Rinçage rapide et sûr sans laisser de résidus",900 ml,"3,23","10,09","5,87"
ACCESSOIRES,,SVITING RAPID SPRAY 500 ML 6 PCS,H0863,https://doomzyx.github.io/MAFRASHOP-IMG/sviting400.webp,"Action pénétrante instantanée Élimine rapidement la rouille des vis et des boulons Il élimine les résidus ferreux et tout type d'impuretés. Lubrifie et facilite le glissement des pièces bloquées Protège contre la corrosion , prolongeant ainsi la durée de vie des composants N'endommage pas les pièces en caoutchouc ou peintes",500 ml,"2,95","9,21","5,36"
INTERIEUR,,TRAITEMENT 3/1 PLASTIQUE,H0878,https://doomzyx.github.io/MAFRASHOP-IMG/nettoyantplastique.webp,"Produit 3 en 1 : nettoie, ravive et protège Nettoyage en profondeur des tableaux de bord, des joints et des garde-boue Ravive les plastiques grâce à une formule enrichie en cire d'abeille Protection anti-UVA pour prévenir le vieillissement des plastiques Effet antistatique pour des surfaces toujours propres Finition naturelle et douce au toucher Application rapide grâce au spray prêt à l'emploi",150 ml / 500 ml / 4500 ml,"2,80","8,75","5,09"
INTERIEUR,,TRAITEMENT 3/1 TISSUS 500ML,H0887,https://doomzyx.github.io/MAFRASHOP-IMG/traitementtissus3en1.webp,"Ravive les couleurs des tissus, du velours et de l'Alcantara®. Mousse active pour éliminer efficacement toutes les taches : facilite l'élimination des saletés des fibres Formule en spray qui ne mouille pas et ne laisse pas de traces. Application rapide Enlève les taches des tissus d'ameublement, des tapis et des moquettes.",500 ml,"2,15","6,72","3,91"
INTERIEUR,,TRAITEMENT CUIR 500ML,H0848,https://doomzyx.github.io/MAFRASHOP-IMG/nettoyantcuir.webp,"Produit 3 en 1 : idéal pour nettoyer, nourrir et protéger les surfaces en cuir. Préserve la souplesse, la couleur et l'aspect d'origine du cuir Prévient la formation de rides et de craquelures Nettoie en profondeur : grâce au mélange de détergents Nourrit en profondeur grâce à l'action de l'aloe vera et des cires naturelles. Ravive les sièges et tous les inserts en cuir Il laisse un arôme frais qui parfume l'habitacle. Idéal pour le nettoyage fréquent des surfaces en cuir",500 ml,"2,87","8,97","5,22"
EXTERIEUR,,ULTRAKAL G2 25 KG,P0608,https://doomzyx.github.io/MAFRASHOP-IMG/ultrakal.webp,"Produit concentré à très haut rendement ; Élimine les incrustations de sels de calcium, de magnésium, de silice, les dépôts d'oxydes et de sulfures de fer, les résidus de ciment et de mortier ; Idéal pour le nettoyage et le décapage des véhicules, des réservoirs en acier inoxydable, des hayons en aluminium, des conteneurs et des caisses mobiles circulant avec un système combiné route+rail, le nettoyage des sols et des carrelages dans les tunnels de lavage et les piscines.",25 KG,"1,68","5,25","3,05"
EXTERIEUR,,WATERLESS 750ML,H1158,https://doomzyx.github.io/MAFRASHOP-IMG/waterless.webp,Nettoyage à sec Formule lubrifiée Ne laisse ni rayures ni traces.,750 ml,"2,92","9,13","5,31"
EXTERIEUR,,WHITE SCHIUMA ATTIVA 4G 25 KG best selection,P0505,https://doomzyx.github.io/MAFRASHOP-IMG/whiteschiumaattiva.webp,Agent moussant à pH acide pour le lavage des tunnels. Produit très émollient et facilement rinçable Permet d'éliminer les résidus alcalins de la première phase de prélavage Indispensable dans les tunnels où l'on utilise de l'eau recyclée et/ou osmosée dans les étapes de pré-cirage.,4500 ml,"1,42","4,44","2,58"
ACCESSOIRES,,WIPES CRUSCOTTI SATINATO 12 PZ green,H0379,https://doomzyx.github.io/MAFRASHOP-IMG/wipessatingreen.webp,,,"1,23","3,84","2,24"
ACCESSOIRES,,WIPES CRUSCOTTO LUCIDO 12 PZ violet,H0378,https://doomzyx.github.io/MAFRASHOP-IMG/wipespurple.webp,"Lingettes brillantes Lingettes nettoyantes pour tableau de bord Wipes Shine à effet brillant Maison Intérieurs Lingettes brillantes Intérieurs Lingettes brillantes Lingettes jetables pour tableaux de bord et plastiques brillants et protégés Paquet compact de 20 lingettes jetables à structure alvéolaire Ils redonnent éclat et clarté aux plastiques et tableaux de bord ternis. Ils créent un bouclier protecteur contre la poussière 30 % de solution nettoyante en plus que les lingettes traditionnelles Idéal pour éliminer facilement la saleté et la poussière, sans graisser les surfaces. Diffuse un parfum agréable et frais dans l'habitacle. Pour prolonger la durée de vie des lingettes jetables, refermez bien l'emballage après utilisation.",,"1,23","3,84","2,24"
ACCESSOIRES,,WIPES VETRI 12 PZ blue,H0377,https://doomzyx.github.io/MAFRASHOP-IMG/wipesblue.webp,"Paquet compact de 20 lingettes jetables à structure alvéolaire Fabriqué en microfibre poreuse Idéal pour enlever la saleté et la poussière des écrans en verre et LCD. 30 % de solution nettoyante pour vitres en plus que les lingettes traditionnelles Laisse un parfum agréable et propre ainsi qu'une sensation de fraîcheur. Un ensemble pratique à toujours garder dans la voiture Pour prolonger la durée de vie des lingettes jetables, refermez bien l'emballage après utilisation.",,"1,23","3,84","2,24"
